produit;note;commentaire;id_client;nom;prenom;email;mot_de_passe;telephone;pseudo;date_de_naissance;adresse_postale;numero_carte;cryptogramme;date_expiration;nom_sur_carte
Confiture confit de cidre 500g;1;Je suis un peu déçu, je m'attendais à mieux.;15;Wagner;Alexandria;sebastiendenis@dubois.fr;Mot_de_passe15;+33 (0)5 17 07 22 62;lucauger;1986-05-22;73, boulevard de Dumont, 09747 Klein;4539 1488 0343 0014;982;06/29;Manon Marchand
Confiture fraise au miel 500g;4;Je ne sais pas ce que j'ai acheté, mais j'aime ça.;16;Rossi;François;kbailly@tiscali.fr;Mot_de_passe16;+33 (0)1 51 86 86 48;luce88;1999-07-26;2, rue Marie, 50089 Jacob-sur-Pineau;4539 1488 0343 0015;858;07/32;Françoise Paul
Confiture fraise au miel 500g;2;Pas terrible… Je ne pense pas le racheter.;17;Gilles;Matthieu;bernardchevallier@chevallier.org;Mot_de_passe17;+33 (0)1 50 07 74 07;anais37;1989-01-03;rue de Charpentier, 98306 Pons-la-Forêt;4539 1488 0343 0016;179;05/33;Gabriel Antoine
Confiture fraise au miel 500g;4;Je ne sais pas ce que j'ai acheté, mais j'aime ça.;18;Bouvet;Bertrand;pmallet@bouygtel.fr;Mot_de_passe18;430320910;camille65;1966-05-28;49, boulevard de Hamon, 40361 Guillotdan;4539 1488 0343 0017;301;06/26;Antoinette Nguyen
Confiture mûre 500g;2;Je suis un peu déçu, je m'attendais à mieux.;19;Carpentier;Clémence;lalbert@live.com;Mot_de_passe19;+33 (0)4 28 86 50 33;susanne96;1990-05-28;5, chemin Sylvie Meunier, 32336 Daniel;4539 1488 0343 0018;771;04/30;André Grondin
Confiture mûre 500g;2;Je suis un peu déçu, je m'attendais à mieux.;20;Couturier;Laure;rolandgrenier@blanchet.com;Mot_de_passe20;551471854;anneguichard;1970-02-18;536, rue Louise Labbé, 76820 Sainte Alexnec;4539 1488 0343 0019;933;03/32;Tristan Dupuy
Confiture mûre 500g;5;Très bonne qualité, je recommanderai sans hésiter.;21;Hervé;Aurélie;verdierantoine@dbmail.com;!3MCCb@2)4;+33 (0)8 08 09 75 13;zmoreno;1996-01-04;24, rue de Menard, 94371 Lefort-la-Forêt;4539 1488 0343 0020;705;09/32;Catherine Leduc
Confiture fruits rouges 500g;2;Je suis un peu déçuv, je m'attendais à mieux.;22;Bertrand;Frédérique;blotpauline@pichon.net;5g6C2$vi)Z;08 03 00 14 67;nmendes;1998-02-08;26, chemin Nathalie Maréchal, 31444 Evrard-la-Forêt;4539 1488 0343 0021;403;08/34;Martin Delahaye
Confiture fruits rouges 500g;4;J'ai failli en racheter dix juste pour le fun.;23;Marty;Éric;wnoel@sfr.fr;(3Nq9zRtfQ;533814839;stephaniegiraud;1968-04-17;rue de Gosselin, 27746 Sainte Susanne;4539 1488 0343 0022;883;01/30;Louis Blin
Confiture fruits rouges 500g;2;Qualité moyenne, pourrait être amélioré.;24;Joly;Robert;olivie45@yahoo.fr;A)J6H&cAz%;409311908;thierry77;2002-02-10;8, rue Édith Boyer, 49010 ValentinBourg;4539 1488 0343 0023;278;11/33;Frédéric Thibault
Confiture pêche 500g;2;Pas terrible… Je ne pense pas le racheter.;25;Courtois;Maurice;daniellebonnet@meunier.net;_qWboNEt7Z;01 58 45 66 95;umichaud;1981-10-05;6, boulevard de Vallée, 90451 Poulainnec;4539 1488 0343 0024;872;08/30;Claire Evrard
Confiture pêche 500g;3;Je ne sais pas ce que j'ai acheté, mais j'aime ça.;26;Lefèvre;Marcelle;xmasson@orange.fr;2*Y*^d%*$*;+33 (0)6 98 30 26 00;fmace;1965-09-01;36, avenue Pierre Daniel, 70438 Lecomte;4539 1488 0343 0025;594;05/32;Madeleine Gérard
Confiture pêche 500g;3;Le produit ne correspond pas totalement à la description.;27;Guichard;Élodie;robertpeltier@noos.fr;U$3KrKtBpz;+33 (0)8 09 14 84 52;edouardpelletier;1997-06-12;chemin Hamon, 12047 Denis-sur-Mer;4539 1488 0343 0026;449;09/34;Colette Klein
Confiture kiwi 500g;3;Je ne sais pas ce que j'ai acheté, mais j'aime ça.;28;Lejeune;Gilles;hbesson@pichon.fr;)hT!TTsY(8;04 16 87 49 20;fournierhortense;1993-06-19;55, chemin de Fouquet, 30776 Weiss;4539 1488 0343 0027;928;08/29;Charles Hoareau
Confiture kiwi 500g;2;Qualité moyenne, pourrait être amélioré.;29;Hernandez;Michelle;ferreiramarguerite@masse.net;#h90WBHuL7;05 23 87 10 95;pierre34;1988-02-02;440, rue de Reynaud, 13060 Allain-sur-Normand;4539 1488 0343 0028;656;05/31;Sylvie Poirier
Confiture kiwi 500g;5;Un incontournable, je suis ravi de mon achat.;30;Berger;Marine;bgermain@pascal.com;@wkNllbAO6;01 95 52 75 64;yves55;1961-03-02;472, avenue Grégoire Ruiz, 26821 Joubertnec;4539 1488 0343 0029;227;03/28;Noémi Guillon
Pâte a tartiner caramel beurre salé au rhum 500g;3;Ce produit devrait avoir son fan-club.;31;Tanguy;Alfred;eleonoreboucher@sauvage.org;cS5jB#Kf!c;107239000;xdias;1946-03-09;6, chemin de Dupont, 93203 Guérin;4539 1488 0343 0030;448;05/35;Marthe Renard
Pâte a tartiner caramel beurre salé au rhum 500g;4;Très bonne qualité, je recommanderai sans hésiter.;32;Meunier;Geneviève;fabremargot@laroche.fr;))U&7FrU2u;+33 (0)4 68 68 28 79;moreaujean;1951-06-18;2, rue de Cordier, 48387 Sainte Jacqueline;4539 1488 0343 0031;508;02/28;Susanne Pruvost
Pâte a tartiner caramel beurre salé au rhum 500g;4;Très bonne qualité, je recommanderai sans hésiter.;33;Joubert;Andrée;thierrymanon@ifrance.com;d(9Y8Wzee*;05 76 30 84 78;tanguymargaud;2000-04-14;rue Lemaître, 03783 Tanguy;4539 1488 0343 0032;422;06/33;Claudine Guilbert
Confiture de lait : noisette beurre salé 500g;4;Ce produit devrait avoir son fan-club.;34;Perrin;Nathalie;ctorres@picard.com;%V5Vmle$DB;167346836;gerard91;1993-12-02;rue Berthelot, 93283 Sainte Timothée-les-Bains;4539 1488 0343 0033;164;02/33;Suzanne Lelièvre
Confiture de lait : noisette beurre salé 500g;3;Je suis un peu déçu, je m'attendais à mieux.;35;Lecoq;Vincent;idufour@antoine.fr;%xi2(RBjCk;+33 (0)8 03 36 33 81;augusteroussel;1946-07-14;65, rue Carpentier, 17994 Saint Benoît;4539 1488 0343 0034;583;05/26;Isabelle Bonneau
Confiture de lait : noisette beurre salé 500g;5;J'adore ce produit ! Il dépasse mes attentes.;36;Cousin;Denise;luciebousquet@yahoo.fr;Q(36G2Vk#S;+33 (0)5 01 77 67 61;isaacguillaume;1983-02-15;431, rue Suzanne Lombard, 63487 Le Gall;4539 1488 0343 0035;556;10/33;Michelle Boutin
Confiture de lait 500g;5;J'adore ce produit ! Il dépasse mes attentes.;37;Rossi;Denis;navarrothomas@live.com;Wm(5Dx)t$#;08 09 58 10 89;odette79;1970-04-23;chemin Vidal, 68489 Gomes-sur-Klein;4539 1488 0343 0036;528;04/32;Brigitte Antoine
Confiture de lait 500g;5;J'ai failli en racheter dix juste pour le fun.;38;Perrot;Victor;upasquier@orange.fr;P_8uGuAMJw;+33 (0)2 38 56 11 07;perretjacqueline;2005-03-05;rue Hubert, 75487 Aubry-sur-Bigot;4539 1488 0343 0037;829;02/31;Diane Lévêque
Confiture de lait 500g;4;J'ai failli en racheter dix juste pour le fun.;39;Guichard;Julie;fabrematthieu@yahoo.fr;)&_sZ8Zq$U;+33 (0)8 05 62 63 60;remyrousset;1987-03-13;32, chemin Vidal, 48690 Gay;4539 1488 0343 0038;394;05/31;Margot Foucher
Beurre salé 100g;2;Le produit ne correspond pas totalement à la description.;40;Guillon;Paul;guibertpierre@adam.net;t%N9VprR%d;+33 2 95 04 34 22;neveuaime;1959-12-10;69, rue Madeleine Boutin, 95455 Bertin;4539 1488 0343 0039;12;10/29;Bernard Berthelot
Beurre salé 100g;5;Très bonne qualité, je recommanderai sans hésiter.;41;Hebert;Marc;celine97@laposte.net;A3ib9aWe8_;+33 (0)8 01 42 00 95;zguibert;1981-10-31;60, boulevard Yves Imbert, 37381 Saint Gabrieldan;4539 1488 0343 0040;797;09/29;Michelle Bonnin
Beurre salé 100g;5;Excellent rapport qualité-prix, vraiment satisfait.;42;Cordier;Margaux;vfaure@leveque.fr;oANHmlvT!3;+33 2 78 52 55 94;emmanuelleroux;1949-09-08;36, boulevard Joséphine Marin, 67644 Wagner-sur-Bruneau;4539 1488 0343 0041;496;11/33;Timothée Meunier
Beurre salé 250g;5;Excellent rapport qualité-prix, vraiment satisfait.;43;Lopes;Alfred;claudine43@hotmail.fr;_W!vOhYkI1;+33 3 37 34 26 43;guibertthierry;1962-04-04;30, rue de Pottier, 51959 Sainte Alexandrie;4539 1488 0343 0042;494;12/29;Jeannine Torres
Beurre salé 250g;1;Qualité moyenne, pourrait être amélioré.;44;Diaz;Gabriel;penelopedumas@club-internet.fr;q%$8#8RzN0;+33 6 03 24 94 71;emilemathieu;1959-03-08;9, rue de Diallo, 07824 Charpentier-les-Bains;4539 1488 0343 0043;36;09/33;Bernadette Leroux
Beurre salé 250g;4;Très bonne qualité, je recommanderai sans hésiter.;45;Roussel;Andrée;pauletteleclerc@sfr.fr;79BYL70x^7;+33 (0)3 34 93 03 72;pineauthibaut;1969-06-11;31, rue de Lebon, 23493 Pages;4539 1488 0343 0044;97;12/25;Antoine Turpin
Beurre salé 500g;3;Qualité moyenne, pourrait être amélioré.;46;Thibault;Daniel;llacroix@martel.fr;@HKgC#wXG5;+33 (0)8 05 58 96 02;yhoareau;1968-09-29;77, chemin de Vidal, 64406 Moulin-sur-Mer;4539 1488 0343 0045;817;08/35;Alfred Monnier
Beurre salé 500g;5;Ce produit est tellement bon que mon chat veut aussi en acheter.;47;Ledoux;Pénélope;aurore67@tiscali.fr;!27Vw#qTMB;08 09 64 35 64;francoiserousseau;1980-12-04;boulevard Jules Lebrun, 75112 Ribeiro-sur-Colas;4539 1488 0343 0046;762;11/30;Laure Roy
Beurre salé 500g;2;Je suis un peu déçu, je m'attendais à mieux.;48;Alexandre;Emmanuelle;dos-santoscolette@free.fr;ylw4XujA(V;+33 2 31 73 53 14;celina96;1983-01-15;avenue Lucas Pineau, 50303 Sainte Marcelle-les-Bains;4539 1488 0343 0047;310;01/27;Jacqueline Goncalves
Beurre salé 1000g;4;J'adore ce produit ! Il dépasse mes attentes.;49;Coste;Diane;catherine03@berger.com;#5JB4EAq&2;183090968;adamaurelie;1963-07-01;rue de Renault, 26538 Raynaud-la-Forêt;4539 1488 0343 0048;667;05/27;Éric Traore
Beurre salé 1000g;4;Excellent rapport qualité-prix, vraiment satisfait.;50;Rousseau;Louis;gabriel03@chretien.net;1Xl(X1Qut3;+33 (0)2 09 37 71 32;mailletcelina;1981-03-06;16, rue de Marin, 97224 Gauthier-sur-Garnier;4539 1488 0343 0049;185;07/26;Josette Becker
Beurre salé 1000g;3;Pas terrible… Je ne pense pas le racheter.;51;Camus;Aimée;william21@wanadoo.fr;dBN8loOfp@;03 85 39 03 27;patricialejeune;1967-01-23;550, boulevard Jacquot, 42935 Voisin-sur-Marques;4539 1488 0343 0050;655;04/33;Théophile Hamon
Cidre breton doux 75cl;1;Pas terrible… Je ne pense pas le racheter.;52;Allard;Françoise;alexandriacamus@ifrance.com;w(9V43XpZR;+33 (0)8 01 36 67 13;marinebriand;1996-09-14;710, boulevard Matthieu Guillot, 31505 Valentin-sur-Guillou;4539 1488 0343 0051;50;04/27;Virginie Perez
Cidre breton doux 75cl;4;J'adore ce produit ! Il dépasse mes attentes.;53;Carre;Michèle;zbrunel@meunier.com;42wmNUrj(e;586965698;josephemmanuel;1967-06-18;31, boulevard Nath Lebon, 97414 Bertin-sur-Faure;4539 1488 0343 0052;139;04/35;Audrey Lejeune
Cidre breton doux 75cl;2;Le produit ne correspond pas totalement à la description.;54;Ferreira;Lucas;anouk61@didier.com;$1kQP9aOwF;05 39 33 03 25;brigittelopes;1986-10-06;576, avenue Le Goff, 30769 Aubry;4539 1488 0343 0053;83;06/31;Gérard Salmon
Cidre breton brut 75cl;4;Un incontournable, je suis ravi de mon achat.;55;Verdier;Anaïs;perriernoel@berger.fr;(yBuYkUR7%;06 36 43 00 23;theodore47;2006-12-07;80, rue Roland Seguin, 46957 Thibault-sur-Rémy;4539 1488 0343 0054;828;08/34;Hortense Lefort
Cidre breton brut 75cl;1;Le produit ne correspond pas totalement à la description.;56;Petitjean;Michelle;evrardthibaut@orange.fr;)Q!631Mn#A;+33 3 05 16 69 86;bessonalexandre;1993-07-08;9, avenue de Chartier, 66887 Techer-sur-Moreau;4539 1488 0343 0055;47;07/26;Amélie Noël
Cidre breton brut 75cl;2;Pas terrible… Je ne pense pas le racheter.;57;Bertin;Mathilde;patriciamarin@live.com;)!*PxdPAR3;802644460;alphonse72;1980-12-03;435, rue Delannoy, 26458 Sainte Antoinettenec;4539 1488 0343 0056;399;07/26;Éléonore Gaudin
Cidre breton rosé 75cl;1;Le produit ne correspond pas totalement à la description.;58;Étienne;Emmanuel;htorres@dbmail.com;)#x*1H5xzR;+33 (0)6 92 61 45 36;tanguybenjamin;1993-05-12;86, boulevard Laure Guillet, 27604 Vasseur;4539 1488 0343 0057;388;08/32;Édith Girard
Cidre breton rosé 75cl;4;J'adore ce produit ! Il dépasse mes attentes.;59;Fernandez;Margaret;ephilippe@orange.fr;^(8w^Iq%Jj;+33 (0)4 14 12 41 38;louise50;1977-04-18;21, rue Techer, 53580 Saint Camille-les-Bains;4539 1488 0343 0058;294;03/27;Renée Perez
Cidre breton rosé 75cl;1;Qualité moyenne, pourrait être amélioré.;60;Coulon;Thierry;michaudnoel@live.com;hK0ibMTo@$;04 31 26 70 30;poulainmadeleine;1972-11-18;avenue de Charpentier, 92373 Saint Noël;4539 1488 0343 0059;235;05/34;Anne Millet
Bière bretonne blanche 75cl;3;Ce produit devrait avoir son fan-club.;61;Lemoine;Étienne;michele39@arnaud.com;@6FV+VZa8d;02 27 04 80 19;moreaualexandria;1977-05-28;4, rue Victoire Maillet, 33231 Perret;4539 1488 0343 0060;340;01/33;Pénélope Denis
Bière bretonne blanche 75cl;3;Le produit ne correspond pas totalement à la description.;62;Pons;Catherine;pichonemile@yahoo.fr;(6%jSZwk@);+33 (0)5 29 18 19 19;dorothee17;1991-01-29;rue de Denis, 52774 Sainte Frédérique-les-Bains;4539 1488 0343 0061;851;08/27;Bernadette Jacquet
Bière bretonne blanche 75cl;5;J'ai failli en racheter dix juste pour le fun.;63;Faivre;Stéphanie;uraynaud@martinez.fr;k0NhRwOn_7;347076317;auguste33;2003-09-28;avenue de Buisson, 27620 Guichard;4539 1488 0343 0062;755;04/29;Sabine Royer
Bière bretonne blonde 75cl;4;J'ai failli en racheter dix juste pour le fun.;64;Fabre;Astrid;bigotrenee@laposte.net;^KI0inb+w4;+33 (0)8 07 80 11 19;claire98;1957-11-04;98, rue André Leclerc, 98382 Pelletier;4539 1488 0343 0063;417;09/32;André Lévêque
Bière bretonne blonde 75cl;3;Qualité moyenne, pourrait être amélioré.;65;Daniel;Raymond;sophie01@tiscali.fr;)W5S2Kc&8%;+33 (0)3 54 46 93 40;dmaillot;1987-12-29;281, rue Renard, 58366 Pereira-sur-Mer;4539 1488 0343 0064;89;07/27;Étienne Goncalves
Bière bretonne blonde 75cl;4;Je ne sais pas ce que j'ai acheté, mais j'aime ça.;66;Philippe;Noël;hroyer@costa.net;*N5DhB8k2M;219922408;gilbert49;2005-06-03;48, boulevard de Dupont, 72852 Fabre;4539 1488 0343 0065;463;07/30;Julien Legendre
Bière bretonne rousse 75cl;2;Le produit ne correspond pas totalement à la description.;67;Dufour;Pauline;fhoarau@free.fr;!p9VBEpkHz;02 87 58 07 50;antoinette66;1991-07-28;95, boulevard Andrée Joseph, 35142 Perrierdan;4539 1488 0343 0066;433;12/33;Emmanuel Bernard
Bière bretonne rousse 75cl;3;Le produit ne correspond pas totalement à la description.;68;Collin;Alexandrie;pichonlaure@free.fr;#B+38KJdnT;802296319;cbarbe;1993-04-12;7, rue de Le Goff, 01694 MaceVille;4539 1488 0343 0067;955;02/29;Lorraine Pruvost
Bière bretonne rousse 75cl;4;Un incontournable, je suis ravi de mon achat.;69;Legendre;Margaud;laportethibaut@gaudin.fr;PVy7#L7bP$;08 07 97 48 37;emilechauvin;1991-10-31;1, rue Moulin, 03952 Laurent;4539 1488 0343 0068;958;11/31;Adèle Barbe
Bière bretonne brune 75cl;3;J'ai failli en racheter dix juste pour le fun.;70;Langlois;Alexandrie;louisegeorges@bouygtel.fr;0O80iUCr*h;+33 1 81 85 85 22;ybrunel;1953-11-26;63, avenue Michèle Chevalier, 16954 Costenec;4539 1488 0343 0069;341;06/27;Dominique Courtois
Bière bretonne brune 75cl;4;Très bonne qualité, je recommanderai sans hésiter.;71;Peltier;Noël;nathalielaine@renaud.fr;W1gI3ToM(0;01 83 99 37 23;victor05;1980-08-25;chemin de Martel, 03374 RollandVille;4539 1488 0343 0070;440;12/33;Andrée Boyer
Bière bretonne brune 75cl;3;Je suis un peu déçu, je m'attendais à mieux.;72;Loiseau;Dominique;pireslaurence@muller.com;u%9!ONHq1T;+33 (0)5 07 84 32 71;michelemasson;1949-05-11;46, avenue Charles, 93463 Guillaume;4539 1488 0343 0071;630;12/34;Henriette Philippe
Bière bretonne blé noir 75cl;1;Je suis un peu déçu, je m'attendais à mieux.;73;Lefort;Thibault;anastasie18@dbmail.com;yo4IwWnMT_;+33 6 61 25 43 37;isaacmasse;2004-05-13;82, chemin Alexandre Lefèvre, 13360 Costa-sur-Bègue;4539 1488 0343 0072;838;04/29;Adèle Dumont
Bière bretonne blé noir 75cl;2;Qualité moyenne, pourrait être amélioré.;74;Bigot;Yves;gerarddelannoy@yahoo.fr;!QU$CjwAJ5;+33 4 58 42 79 36;peltieredouard;1980-01-31;boulevard de Tanguy, 41961 ThibaultBourg;4539 1488 0343 0073;737;11/26;Éric Guillaume
Bière bretonne blé noir 75cl;3;Ce produit est tellement bon que mon chat veut aussi en acheter.;75;Pereira;Dorothée;bernardbouchet@tele2.fr;&ER9mDza6N;05 96 17 43 20;lopesines;1987-10-14;29, rue de Sauvage, 31218 Lecomte;4539 1488 0343 0074;161;08/27;Patrick Diaz
Palet breton 800g;1;Pas terrible… Je ne pense pas le racheter.;76;Marie;Virginie;danielleguichard@bouygtel.fr;(0XQpcDsvP;+33 (0)3 24 13 76 84;guycharrier;1974-08-21;17, chemin Olivier, 72774 Saint Lucy-la-Forêt;4539 1488 0343 0075;477;01/28;Adrien Bonnet
Palet breton 800g;5;Ce produit est tellement bon que mon chat veut aussi en acheter.;77;Evrard;Lorraine;eleonorenguyen@thomas.fr;iO1XPrHS_8;+33 (0)8 03 64 63 05;payetconstance;1959-02-20;782, rue Stéphanie Valentin, 60253 Jacob;4539 1488 0343 0076;975;12/28;Jeannine Lombard
Palet breton 800g;1;Le produit ne correspond pas totalement à la description.;78;Schneider;Antoinette;pcollet@hoarau.org;$3zYJKRD7o;237918609;stephanie96;1965-04-22;76, avenue Hélène Chauvet, 39315 Schneider;4539 1488 0343 0077;38;12/34;Charlotte Fouquet
Chouchen 75cl;2;Le produit ne correspond pas totalement à la description.;79;Rey;Arthur;nicole75@pascal.com;*9ceHRnfGC;+33 1 00 63 74 30;ruizhenriette;1959-06-30;77, chemin Poirier, 15983 Bouchernec;4539 1488 0343 0078;75;09/32;Aurélie Petitjean
Chouchen 75cl;4;Ce produit est tellement bon que mon chat veut aussi en acheter.;80;Fouquet;Tristan;chauvetgeorges@tiscali.fr;@4WxtkseZh;05 59 85 56 94;rmenard;1972-04-08;51, chemin Arnaude Étienne, 66286 Sainte DenisVille;4539 1488 0343 0079;34;12/31;Céline Muller
Chouchen 75cl;3;Le produit ne correspond pas totalement à la description.;81;Chrétien;Joséphine;maggie32@ifrance.com;JJ8Am+fj^W;+33 (0)1 51 34 34 91;pcollet;1971-04-17;93, chemin de Huet, 83142 Mauricenec;4539 1488 0343 0080;660;08/29;Denise Ramos
Gâteaux breton nature 350g;5;Ce produit devrait avoir son fan-club.;82;Jacquet;Frédéric;fischeraurelie@live.com;a&9WNn_*@a;491597066;adele28;1991-10-26;5, chemin Juliette Faivre, 84236 Dufour;4539 1488 0343 0081;451;02/35;Joseph Benoit
Gâteaux breton nature 350g;5;J'ai failli en racheter dix juste pour le fun.;83;Langlois;Suzanne;jacqueline17@raynaud.com;qwVcDpJq!9;+33 (0)1 16 07 08 27;pmartins;1955-12-17;5, boulevard Rodrigues, 48454 Robin;4539 1488 0343 0082;888;11/31;Geneviève Hebert
Gâteaux breton nature 350g;3;Ce produit est tellement bon que mon chat veut aussi en acheter.;84;Jean;Marc;ndelorme@dbmail.com;a(%3IBjRTi;+33 (0)2 29 53 12 88;isabelle06;1950-04-12;549, boulevard Gaudin, 84220 Rolland;4539 1488 0343 0083;49;04/29;Mathilde Blin
Gâteaux breton caramel 350g;1;Qualité moyenne, pourrait être amélioré.;85;Meyer;Agnès;edithmartinez@yahoo.fr;aoK1Mq4w!5;349824641;marcelle98;1969-05-14;avenue de Weiss, 13680 Renault-sur-Seguin;4539 1488 0343 0084;648;07/27;Eugène De Sousa
Gâteaux breton caramel 350g;5;J'ai failli en racheter dix juste pour le fun.;86;Weber;Claudine;dominique19@gallet.com;H&1nIiTzC^;+33 1 30 11 62 83;fclement;1974-05-29;66, boulevard Christine Marchal, 59786 Gauthiernec;4539 1488 0343 0085;830;11/29;Laurent Pereira
Gâteaux breton caramel 350g;2;Je suis un peu déçu, je m'attendais à mieux.;87;Leblanc;Alex;astridhoarau@collin.fr;^3Zob6W!!8;389612077;ijacquot;1967-02-22;46, rue Breton, 28399 Baronboeuf;4539 1488 0343 0086;148;04/34;Christiane Blondel
Gâteaux breton framboise 350g;3;Ce produit devrait avoir son fan-club.;88;Imbert;Lucie;noemiroger@philippe.net;@kO5GQ6zsQ;+33 (0)6 51 77 80 12;qcharpentier;1960-09-06;8, rue de Duhamel, 74963 Ferrand-la-Forêt;4539 1488 0343 0087;456;08/33;Margot Legros
Gâteaux breton framboise 350g;3;Le produit ne correspond pas totalement à la description.;89;Michel;Martin;josephinevoisin@fischer.fr;PxRIiTJt+7;03 07 98 89 33;bernard43;1970-11-08;830, boulevard Frédéric Ferreira, 00057 Ferrand-sur-Mer;4539 1488 0343 0088;85;01/28;Pénélope Roussel
Gâteaux breton framboise 350g;4;Très bonne qualité, je recommanderai sans hésiter.;90;Aubry;Frédérique;elagarde@munoz.com;%+8RmE0Zgq;119320660;manon53;2002-11-17;87, chemin Adrienne Lemoine, 00176 Ferreira;4539 1488 0343 0089;403;09/30;Xavier Charpentier
Bonbon caramel beurre salé 300g;1;Le produit ne correspond pas totalement à la description.;91;Besson;Louise;emmanuellegeorges@yahoo.fr;+%NtJCHw@4;+33 6 53 31 86 06;laurent13;1964-12-30;160, avenue de Collet, 54519 Ollivier;4539 1488 0343 0090;595;07/30;Maurice Guichard
Bonbon caramel beurre salé 300g;1;Le produit ne correspond pas totalement à la description.;92;Gillet;Franck;julie53@tele2.fr;I^12Jvb7*t;06 05 69 38 16;btoussaint;2001-05-17;11, boulevard Ramos, 40203 Menard;4539 1488 0343 0091;463;08/27;Madeleine De Oliveira
Bonbon caramel beurre salé 300g;1;Le produit ne correspond pas totalement à la description.;93;Clément;Mathilde;philippine41@roy.fr;_8rHqq7s1m;+33 5 73 88 68 03;jourdandanielle;1971-08-19;54, chemin Le Goff, 27148 Torres;4539 1488 0343 0092;315;06/33;Patricia Dupont
